venta_id,fecha_id,cliente_id,producto_id,cantidad,precio_unitario_clp,descuento_pct,monto_total_clp,canal_venta,metodo_pago
54,3,531,55,1,474000,0.0,474000,App Móvil,Débito
55,3,959,145,1,211000,0.1,189900,Marketplace,Débito
56,3,1059,74,3,74000,0.0,222000,Web,WebPay
57,3,1493,67,1,17000,0.0,17000,App Móvil,Tarjeta Crédito
58,3,183,18,1,3395000,0.0,3395000,Marketplace,WebPay
59,3,1393,19,1,1379000,0.1,1241100,Marketplace,WebPay
60,3,131,98,1,43000,0.0,43000,App Móvil,WebPay
61,3,2328,77,1,20000,0.0,20000,App Móvil,Débito
62,3,1178,51,1,134000,0.0,134000,Web,Transferencia
63,3,886,91,1,43000,0.0,43000,Redes Sociales,Transferencia
64,3,1516,54,1,786000,0.0,786000,Web,Débito
65,3,1677,87,3,63000,0.0,189000,Redes Sociales,Cuotas sin interés
66,3,2006,68,3,113000,0.0,339000,Marketplace,WebPay
67,4,1693,78,3,118000,0.0,354000,Web,Débito
68,4,2219,72,2,61000,0.0,122000,App Móvil,Tarjeta Crédito
69,4,65,41,1,1565000,0.0,1565000,App Móvil,Cuotas sin interés
70,4,1704,94,1,99000,0.0,99000,Marketplace,WebPay
71,4,1702,145,1,211000,0.05,200450,Marketplace,Débito
72,4,986,86,1,82000,0.0,82000,Web,Débito
73,4,1476,100,1,107000,0.0,107000,App Móvil,Transferencia
74,4,2379,25,1,2117000,0.0,2117000,Web,Transferencia
75,4,2093,73,2,36000,0.0,72000,Web,WebPay
76,4,385,35,1,208000,0.0,208000,Marketplace,Transferencia
77,4,203,91,1,43000,0.05,40850,Web,Transferencia
78,4,2077,140,1,496000,0.0,496000,App Móvil,WebPay
79,4,1649,95,1,65000,0.1,58500,Web,Débito
80,4,1136,28,1,2274000,0.0,2274000,Marketplace,WebPay
81,4,2389,68,2,113000,0.0,226000,App Móvil,WebPay
82,4,1486,85,3,8000,0.0,24000,Web,Débito
83,4,15,72,2,61000,0.0,122000,App Móvil,Débito
84,4,2425,118,1,196000,0.0,196000,Marketplace,Tarjeta Crédito
85,4,1641,113,1,257000,0.1,231300,Redes Sociales,Cuotas sin interés
86,4,2378,90,1,113000,0.0,113000,Web,Cuotas sin interés
87,4,813,69,1,64000,0.0,64000,Marketplace,Cuotas sin interés
88,4,1829,55,1,474000,0.0,474000,Redes Sociales,WebPay
89,5,449,92,1,111000,0.0,111000,Marketplace,WebPay
90,5,456,72,1,61000,0.0,61000,Marketplace,Débito
91,5,983,103,1,74000,0.1,66600,Redes Sociales,Tarjeta Crédito
92,5,209,83,2,14000,0.0,28000,App Móvil,WebPay
93,5,2192,96,2,14000,0.0,28000,Marketplace,Tarjeta Crédito
94,5,745,74,1,74000,0.0,74000,Web,Tarjeta Crédito
95,5,1469,101,3,78000,0.0,234000,Redes Sociales,WebPay
96,5,1138,116,1,720000,0.0,720000,Web,WebPay
97,5,1676,39,1,1407000,0.0,1407000,App Móvil,Cuotas sin interés
98,5,1560,118,1,196000,0.0,196000,Marketplace,Transferencia
99,5,663,84,2,41000,0.0,82000,Marketplace,WebPay
100,5,2417,120,1,590000,0.0,590000,Web,Cuotas sin interés
101,5,2179,74,3,74000,0.0,222000,Redes Sociales,WebPay
102,5,468,70,1,46000,0.0,46000,Web,WebPay
103,5,463,135,1,261000,0.0,261000,App Móvil,Tarjeta Crédito
104,5,1868,54,1,786000,0.0,786000,Web,Tarjeta Crédito
105,5,1511,120,1,590000,0.0,590000,Web,WebPay
106,5,2180,79,2,82000,0.0,164000,App Móvil,WebPay
107,5,266,82,1,77000,0.0,77000,App Móvil,Débito
108,5,1336,62,1,627000,0.0,627000,Web,Cuotas sin interés
109,5,15,87,3,63000,0.0,189000,Web,Cuotas sin interés
110,5,292,65,1,92000,0.0,92000,App Móvil,WebPay
111,5,430,14,1,1059000,0.0,1059000,Marketplace,WebPay
112,5,1193,57,1,1679000,0.05,1595050,Marketplace,Transferencia
113,5,1730,3,1,926000,0.05,879700,Web,Débito
114,5,2172,147,1,578000,0.0,578000,App Móvil,Tarjeta Crédito
115,5,2415,144,1,334000,0.0,334000,Web,Débito
116,5,1505,71,1,116000,0.05,110200,Web,WebPay
117,5,1217,101,1,78000,0.0,78000,Marketplace,Tarjeta Crédito
118,5,1547,67,1,17000,0.0,17000,App Móvil,Débito
119,6,2070,9,1,1378000,0.0,1378000,Web,Tarjeta Crédito
120,6,2237,118,1,196000,0.0,196000,Redes Sociales,Tarjeta Crédito
121,6,80,146,1,36000,0.0,36000,App Móvil,Débito
122,6,160,38,1,1296000,0.0,1296000,App Móvil,Transferencia
123,6,1077,51,1,134000,0.05,127300,Web,WebPay
124,6,1544,126,1,283000,0.0,283000,App Móvil,Transferencia
125,6,302,137,1,609000,0.0,609000,Marketplace,Débito
126,6,561,73,1,36000,0.05,34200,Marketplace,Débito
127,6,645,18,1,3395000,0.0,3395000,Web,Transferencia
128,6,851,14,1,1059000,0.0,1059000,Web,Transferencia
129,6,889,87,1,63000,0.0,63000,Marketplace,Débito
130,6,117,71,2,116000,0.0,232000,Redes Sociales,Débito
131,6,2195,11,1,2316000,0.0,2316000,Web,WebPay
132,6,669,88,3,78000,0.0,234000,App Móvil,Transferencia
133,6,378,5,1,2283000,0.0,2283000,Web,Tarjeta Crédito
134,6,1726,107,1,595000,0.0,595000,Marketplace,Tarjeta Crédito
135,6,1289,62,1,627000,0.0,627000,Web,Débito
136,6,1674,15,1,2257000,0.0,2257000,Web,Tarjeta Crédito
137,6,1767,88,2,78000,0.1,140400,Marketplace,Tarjeta Crédito
138,6,2317,71,3,116000,0.05,330600,Web,Cuotas sin interés
139,6,1095,146,1,36000,0.0,36000,App Móvil,Cuotas sin interés
140,6,1143,84,2,41000,0.0,82000,App Móvil,Transferencia
141,6,2104,58,1,1169000,0.0,1169000,Web,Cuotas sin interés
142,6,278,99,1,88000,0.0,88000,App Móvil,Débito
143,7,2219,87,1,63000,0.0,63000,Web,Tarjeta Crédito
144,7,1561,111,1,600000,0.0,600000,Web,Tarjeta Crédito
145,7,1546,104,3,15000,0.05,42750,Redes Sociales,Cuotas sin interés
146,7,1106,40,1,697000,0.05,662150,Web,Cuotas sin interés
147,7,864,40,1,697000,0.0,697000,Redes Sociales,Transferencia
148,7,2030,57,1,1679000,0.05,1595050,Redes Sociales,Cuotas sin interés
149,7,1622,68,2,113000,0.0,226000,Marketplace,Débito
150,7,1939,72,1,61000,0.0,61000,Marketplace,Transferencia
151,7,2203,96,1,14000,0.0,14000,App Móvil,WebPay
152,7,211,21,1,822000,0.0,822000,Marketplace,Débito
153,7,1344,13,1,1841000,0.0,1841000,Web,Transferencia
154,7,975,71,1,116000,0.0,116000,App Móvil,WebPay
155,7,1798,98,1,43000,0.0,43000,App Móvil,WebPay
156,7,2200,46,1,286000,0.1,257400,App Móvil,WebPay
157,7,1302,93,1,33000,0.0,33000,App Móvil,WebPay
158,7,1352,55,1,474000,0.0,474000,Web,Cuotas sin interés
159,7,535,130,1,524000,0.0,524000,App Móvil,WebPay
160,7,1280,132,1,111000,0.0,111000,Marketplace,Cuotas sin interés
161,7,781,61,1,1469000,0.1,1322100,Web,Cuotas sin interés
162,7,852,51,1,134000,0.0,134000,Redes Sociales,Transferencia
163,7,1590,73,1,36000,0.0,36000,Marketplace,Transferencia
164,7,59,53,1,1641000,0.0,1641000,Marketplace,Transferencia
165,7,2226,96,2,14000,0.0,28000,App Móvil,Cuotas sin interés
166,7,1350,116,1,720000,0.1,648000,Marketplace,Transferencia
167,7,647,96,1,14000,0.05,13300,Web,WebPay
168,7,2081,116,1,720000,0.0,720000,Marketplace,Tarjeta Crédito
169,7,760,71,1,116000,0.0,116000,Web,Cuotas sin interés
170,7,1057,41,1,1565000,0.0,1565000,Marketplace,WebPay
171,7,1264,102,2,22000,0.0,44000,Redes Sociales,Débito
172,7,1830,68,1,113000,0.0,113000,Web,WebPay
173,7,2104,96,2,14000,0.0,28000,Web,Cuotas sin interés
174,8,1662,125,1,868000,0.0,868000,Marketplace,Tarjeta Crédito
175,8,1025,33,1,563000,0.0,563000,Web,Cuotas sin interés
176,8,583,36,1,1408000,0.05,1337600,App Móvil,Cuotas sin interés
177,8,989,147,1,578000,0.0,578000,Redes Sociales,WebPay
178,8,1353,96,1,14000,0.0,14000,Web,WebPay
179,8,2396,121,1,848000,0.0,848000,App Móvil,WebPay
180,8,2226,65,1,92000,0.0,92000,Web,Tarjeta Crédito
181,8,1840,96,1,14000,0.0,14000,Web,Tarjeta Crédito
182,8,1615,89,3,84000,0.0,252000,Web,Tarjeta Crédito
183,8,2165,90,1,113000,0.0,113000,Web,Tarjeta Crédito
184,8,1769,97,1,108000,0.0,108000,App Móvil,Transferencia
185,8,1430,87,3,63000,0.05,179550,App Móvil,Tarjeta Crédito
186,8,1991,74,2,74000,0.0,148000,App Móvil,WebPay
187,8,1769,58,1,1169000,0.0,1169000,Web,Tarjeta Crédito
188,8,1403,104,1,15000,0.0,15000,Web,Tarjeta Crédito
189,8,310,51,1,134000,0.0,134000,Marketplace,Débito
190,8,1399,98,1,43000,0.0,43000,Redes Sociales,Cuotas sin interés
191,8,482,52,1,621000,0.0,621000,Web,Cuotas sin interés
192,8,1547,92,1,111000,0.0,111000,Marketplace,WebPay
193,8,1443,102,2,22000,0.0,44000,App Móvil,Débito
194,8,133,50,1,124000,0.1,111600,App Móvil,Débito
195,8,1426,22,1,555000,0.0,555000,App Móvil,Cuotas sin interés
196,8,474,37,1,89000,0.0,89000,Web,WebPay
197,8,1190,90,2,113000,0.0,226000,Web,Débito
198,8,2243,122,1,826000,0.1,743400,App Móvil,WebPay
199,8,301,16,1,2303000,0.0,2303000,Web,WebPay
200,9,2499,39,1,1407000,0.0,1407000,Marketplace,Tarjeta Crédito
201,9,2107,100,2,107000,0.0,214000,Marketplace,WebPay
202,9,532,60,1,1615000,0.0,1615000,Web,Tarjeta Crédito
203,9,2102,83,2,14000,0.05,26600,Web,WebPay
204,9,704,98,1,43000,0.05,40850,Marketplace,Cuotas sin interés
205,9,404,133,1,616000,0.0,616000,App Móvil,Tarjeta Crédito
206,9,1336,108,1,648000,0.0,648000,Web,Débito
207,9,175,96,1,14000,0.0,14000,Web,Transferencia
208,9,225,96,2,14000,0.0,28000,App Móvil,Cuotas sin interés
209,9,1747,141,1,625000,0.05,593750,Marketplace,Débito
210,9,2077,61,1,1469000,0.0,1469000,Redes Sociales,Transferencia
211,9,1813,1,1,1592000,0.0,1592000,App Móvil,Cuotas sin interés
212,9,2498,57,1,1679000,0.0,1679000,App Móvil,WebPay
213,9,2196,49,1,979000,0.0,979000,Web,Cuotas sin interés
214,9,528,95,1,65000,0.0,65000,App Móvil,Cuotas sin interés
215,9,1263,92,2,111000,0.0,222000,App Móvil,Cuotas sin interés
216,9,2006,89,1,84000,0.0,84000,App Móvil,Cuotas sin interés
217,9,2210,6,1,513000,0.05,487350,App Móvil,Transferencia
218,9,2364,101,2,78000,0.1,140400,Web,Cuotas sin interés
219,9,1588,64,1,1487000,0.0,1487000,Web,WebPay
220,9,2450,95,1,65000,0.0,65000,Web,Tarjeta Crédito
221,9,1770,86,1,82000,0.05,77900,Web,WebPay
222,9,683,67,2,17000,0.0,34000,Web,Transferencia
223,9,1656,38,1,1296000,0.0,1296000,Redes Sociales,Débito
224,9,805,32,1,1505000,0.1,1354500,App Móvil,Cuotas sin interés
225,9,527,117,1,530000,0.0,530000,App Móvil,Débito
226,9,2398,136,1,569000,0.05,540550,Marketplace,Tarjeta Crédito
227,9,2286,33,1,563000,0.0,563000,Redes Sociales,Tarjeta Crédito
228,9,335,72,1,61000,0.0,61000,App Móvil,Tarjeta Crédito
229,10,1565,62,1,627000,0.0,627000,App Móvil,Transferencia
230,10,242,72,1,61000,0.0,61000,App Móvil,Tarjeta Crédito
231,10,1200,96,1,14000,0.0,14000,Web,Tarjeta Crédito
232,10,2021,97,1,108000,0.05,102600,Web,Cuotas sin interés
233,10,1482,63,1,472000,0.0,472000,Web,WebPay
234,10,1566,37,1,89000,0.0,89000,App Móvil,Transferencia
235,10,836,92,2,111000,0.0,222000,App Móvil,Cuotas sin interés
236,10,627,37,1,89000,0.0,89000,Web,Tarjeta Crédito
237,10,270,87,2,63000,0.0,126000,App Móvil,Débito
238,10,596,98,1,43000,0.0,43000,Marketplace,Transferencia
239,10,853,98,2,43000,0.0,86000,Web,Débito
240,10,137,103,1,74000,0.0,74000,App Móvil,Cuotas sin interés
241,10,834,127,1,770000,0.1,693000,Marketplace,Transferencia
242,10,1986,80,2,31000,0.05,58900,Web,Débito
243,10,2359,101,2,78000,0.0,156000,Web,Tarjeta Crédito
244,10,1940,91,2,43000,0.0,86000,App Móvil,Débito
245,10,1549,45,1,1606000,0.05,1525700,Marketplace,Tarjeta Crédito
246,10,1911,10,1,1767000,0.0,1767000,Marketplace,Débito
247,10,1564,59,1,1462000,0.0,1462000,App Móvil,Tarjeta Crédito
248,10,1448,75,2,9000,0.0,18000,Marketplace,WebPay
249,10,214,91,1,43000,0.0,43000,App Móvil,Transferencia
250,10,152,122,1,826000,0.0,826000,App Móvil,Débito
251,10,84,46,1,286000,0.05,271700,App Móvil,Tarjeta Crédito
252,10,784,36,1,1408000,0.1,1267200,Web,Débito
253,10,2120,144,1,334000,0.0,334000,Marketplace,Débito
254,10,163,34,1,322000,0.0,322000,App Móvil,Transferencia
255,10,319,79,1,82000,0.0,82000,App Móvil,Tarjeta Crédito
256,11,908,63,1,472000,0.1,424800,App Móvil,Cuotas sin interés
257,11,185,21,1,822000,0.05,780900,App Móvil,Tarjeta Crédito
258,11,76,104,2,15000,0.0,30000,Web,Débito
259,11,288,98,1,43000,0.0,43000,Marketplace,Cuotas sin interés
260,11,727,66,2,52000,0.1,93600,Redes Sociales,Cuotas sin interés
261,11,487,96,2,14000,0.0,28000,App Móvil,Débito
262,11,1465,71,1,116000,0.05,110200,Redes Sociales,Débito
263,11,1914,103,3,74000,0.05,210900,Web,Débito
264,11,110,76,2,109000,0.05,207100,App Móvil,Cuotas sin interés
265,11,75,73,1,36000,0.05,34200,App Móvil,Cuotas sin interés
266,11,495,139,1,562000,0.0,562000,App Móvil,Débito
267,11,436,54,1,786000,0.0,786000,App Móvil,WebPay
268,11,2214,36,1,1408000,0.0,1408000,Web,Transferencia
269,11,1798,88,2,78000,0.05,148200,Web,Tarjeta Crédito
270,11,850,145,1,211000,0.05,200450,App Móvil,WebPay
271,11,1387,70,1,46000,0.0,46000,Web,WebPay
272,11,447,23,1,1239000,0.1,1115100,Marketplace,Transferencia
273,11,54,66,1,52000,0.05,49400,Web,Transferencia
274,11,2108,81,1,46000,0.0,46000,Web,WebPay
275,11,2277,41,1,1565000,0.0,1565000,App Móvil,WebPay
276,11,53,95,1,65000,0.05,61750,App Móvil,Transferencia
277,11,1694,150,1,442000,0.0,442000,Marketplace,WebPay
278,11,948,76,2,109000,0.0,218000,App Móvil,Tarjeta Crédito
279,11,1969,68,1,113000,0.0,113000,Web,Tarjeta Crédito
280,11,278,72,3,61000,0.0,183000,Marketplace,Tarjeta Crédito
281,11,2341,35,1,208000,0.0,208000,App Móvil,Transferencia
282,11,763,130,1,524000,0.0,524000,Web,Transferencia
283,11,601,73,2,36000,0.05,68400,App Móvil,Débito
284,11,2024,70,3,46000,0.1,124200,Redes Sociales,Cuotas sin interés
285,11,1653,95,1,65000,0.0,65000,App Móvil,Transferencia
286,12,1958,40,1,697000,0.0,697000,Marketplace,WebPay
287,12,1010,75,1,9000,0.0,9000,Web,Transferencia
288,12,1015,89,2,84000,0.0,168000,App Móvil,Tarjeta Crédito
289,12,1450,29,1,720000,0.0,720000,App Móvil,Transferencia
290,12,1639,140,1,496000,0.0,496000,App Móvil,WebPay
291,12,1181,103,2,74000,0.0,148000,Redes Sociales,Cuotas sin interés
292,12,1282,88,2,78000,0.1,140400,Marketplace,Débito
293,12,1903,117,1,530000,0.1,477000,App Móvil,Cuotas sin interés
294,12,374,29,1,720000,0.0,720000,Marketplace,Cuotas sin interés
295,12,994,78,1,118000,0.0,118000,Redes Sociales,WebPay
296,12,568,92,1,111000,0.0,111000,Web,Transferencia
297,12,1873,117,1,530000,0.0,530000,Redes Sociales,Transferencia
298,12,1187,106,1,505000,0.0,505000,Web,Cuotas sin interés
299,12,1290,58,1,1169000,0.05,1110550,Marketplace,Cuotas sin interés
300,12,1965,140,1,496000,0.0,496000,Web,Tarjeta Crédito
301,12,1895,36,1,1408000,0.0,1408000,Web,Débito
302,12,1807,128,1,173000,0.0,173000,App Móvil,Tarjeta Crédito
303,12,1154,145,1,211000,0.0,211000,App Móvil,Tarjeta Crédito
304,12,1980,44,1,1335000,0.05,1268250,App Móvil,WebPay
305,13,978,133,1,616000,0.0,616000,Web,WebPay
306,13,2474,70,1,46000,0.0,46000,App Móvil,Cuotas sin interés
307,13,323,49,1,979000,0.0,979000,App Móvil,Cuotas sin interés
308,13,1047,75,1,9000,0.0,9000,Web,WebPay
309,13,1858,18,1,3395000,0.05,3225250,Web,Transferencia
310,13,973,115,1,806000,0.05,765700,App Móvil,Débito
311,13,2259,116,1,720000,0.0,720000,Marketplace,Cuotas sin interés
312,13,517,88,1,78000,0.1,70200,App Móvil,Débito
313,13,2177,67,1,17000,0.0,17000,Web,Tarjeta Crédito
314,13,775,110,1,593000,0.05,563350,Marketplace,Transferencia
315,13,2045,85,1,8000,0.0,8000,Web,Tarjeta Crédito
316,13,1662,116,1,720000,0.0,720000,App Móvil,Débito
317,13,397,92,1,111000,0.05,105450,Web,Tarjeta Crédito
318,13,1438,106,1,505000,0.0,505000,Web,Tarjeta Crédito
319,13,776,89,2,84000,0.0,168000,Web,Débito
320,13,508,73,1,36000,0.0,36000,App Móvil,Tarjeta Crédito
321,13,1792,143,1,411000,0.0,411000,Web,WebPay
322,13,1148,84,2,41000,0.05,77900,App Móvil,WebPay
323,13,505,90,1,113000,0.0,113000,App Móvil,Débito
324,14,818,119,1,271000,0.0,271000,Web,Transferencia
325,14,1872,39,1,1407000,0.0,1407000,App Móvil,Tarjeta Crédito
326,14,1212,81,2,46000,0.1,82800,App Móvil,Transferencia
327,14,171,23,1,1239000,0.0,1239000,Web,Tarjeta Crédito
328,14,1372,26,1,3407000,0.1,3066300,Web,Transferencia
329,14,606,87,2,63000,0.0,126000,Marketplace,Tarjeta Crédito
330,14,2376,86,2,82000,0.0,164000,App Móvil,Débito
331,14,351,128,1,173000,0.0,173000,App Móvil,Transferencia
332,14,2052,86,2,82000,0.0,164000,App Móvil,Cuotas sin interés
333,14,2104,143,1,411000,0.0,411000,App Móvil,Débito
334,14,427,18,1,3395000,0.0,3395000,Web,Débito
335,14,46,32,1,1505000,0.0,1505000,Web,Tarjeta Crédito
336,14,252,16,1,2303000,0.0,2303000,Web,Tarjeta Crédito
337,14,736,45,1,1606000,0.0,1606000,Web,Cuotas sin interés
338,14,1337,84,1,41000,0.0,41000,Redes Sociales,Transferencia
339,14,978,93,1,33000,0.1,29700,App Móvil,Cuotas sin interés
340,14,194,17,1,648000,0.1,583200,Marketplace,Cuotas sin interés
341,14,1909,141,1,625000,0.1,562500,Web,Cuotas sin interés
342,14,1694,120,1,590000,0.0,590000,App Móvil,WebPay
343,14,384,61,1,1469000,0.1,1322100,Web,Débito
344,14,896,28,1,2274000,0.0,2274000,Web,Transferencia
345,14,542,43,1,615000,0.0,615000,Web,Tarjeta Crédito
346,14,87,37,1,89000,0.0,89000,Marketplace,Cuotas sin interés
347,14,1688,36,1,1408000,0.0,1408000,Marketplace,Débito
348,14,541,82,2,77000,0.0,154000,App Móvil,Tarjeta Crédito
349,14,1742,53,1,1641000,0.05,1558950,App Móvil,Transferencia
350,14,2092,68,1,113000,0.0,113000,Redes Sociales,Tarjeta Crédito
351,14,2029,149,1,542000,0.0,542000,Web,Transferencia
352,14,1603,97,1,108000,0.0,108000,Web,Débito
353,14,1792,141,1,625000,0.0,625000,Web,WebPay
354,15,1849,117,1,530000,0.0,530000,App Móvil,WebPay
355,15,822,50,1,124000,0.0,124000,App Móvil,Tarjeta Crédito
356,15,696,72,1,61000,0.1,54900,App Móvil,Tarjeta Crédito
357,15,1610,72,1,61000,0.0,61000,Redes Sociales,Tarjeta Crédito
358,15,1902,147,1,578000,0.0,578000,Web,Débito
359,15,1303,44,1,1335000,0.0,1335000,Marketplace,WebPay
360,15,2444,110,1,593000,0.0,593000,App Móvil,Débito
361,15,1621,66,2,52000,0.0,104000,Web,Cuotas sin interés
362,15,722,101,2,78000,0.0,156000,Web,WebPay
363,15,60,73,3,36000,0.0,108000,Redes Sociales,Débito
364,15,2118,87,1,63000,0.0,63000,Marketplace,WebPay
365,15,829,118,1,196000,0.05,186200,Redes Sociales,WebPay
366,15,606,111,1,600000,0.0,600000,Redes Sociales,Tarjeta Crédito
367,15,1349,126,1,283000,0.1,254700,Web,Cuotas sin interés
368,15,2267,22,1,555000,0.0,555000,App Móvil,Débito
369,15,1663,98,1,43000,0.0,43000,Marketplace,WebPay
370,15,621,38,1,1296000,0.0,1296000,App Móvil,Transferencia
371,15,1719,73,1,36000,0.0,36000,App Móvil,Débito
372,16,11,87,1,63000,0.0,63000,App Móvil,Transferencia
373,16,2155,41,1,1565000,0.0,1565000,App Móvil,WebPay
374,16,1826,78,1,118000,0.0,118000,App Móvil,Transferencia
375,16,936,85,2,8000,0.0,16000,Web,Débito
376,16,1012,87,1,63000,0.0,63000,Web,Transferencia
377,16,1040,48,1,1406000,0.0,1406000,App Móvil,Débito
378,16,987,102,2,22000,0.0,44000,Web,WebPay
379,16,1856,9,1,1378000,0.0,1378000,Marketplace,Tarjeta Crédito
380,16,961,68,1,113000,0.0,113000,Web,WebPay
381,16,770,105,1,4000,0.1,3600,App Móvil,WebPay
382,16,2469,86,2,82000,0.05,155800,Redes Sociales,Tarjeta Crédito
383,16,179,56,1,578000,0.0,578000,Web,Transferencia
384,16,2213,98,1,43000,0.0,43000,App Móvil,WebPay
385,16,2482,86,1,82000,0.0,82000,Web,WebPay
386,16,312,109,1,310000,0.0,310000,App Móvil,WebPay
387,16,2331,101,2,78000,0.0,156000,App Móvil,Débito
388,16,406,90,1,113000,0.0,113000,App Móvil,WebPay
389,16,1908,79,3,82000,0.0,246000,App Móvil,Débito
390,16,2393,37,1,89000,0.0,89000,Marketplace,Débito
391,16,1929,56,1,578000,0.0,578000,Web,WebPay
392,17,1102,89,1,84000,0.05,79800,Web,Cuotas sin interés
393,17,2283,112,1,107000,0.0,107000,App Móvil,Transferencia
394,17,273,74,2,74000,0.1,133200,Marketplace,WebPay
395,17,1592,103,1,74000,0.0,74000,Marketplace,Transferencia
396,17,200,135,1,261000,0.0,261000,Redes Sociales,WebPay
397,17,215,87,2,63000,0.0,126000,Web,Cuotas sin interés
398,17,312,44,1,1335000,0.0,1335000,Web,Débito
399,17,161,57,1,1679000,0.0,1679000,Marketplace,WebPay
400,17,75,47,1,1389000,0.0,1389000,App Móvil,Tarjeta Crédito
401,17,587,54,1,786000,0.1,707400,App Móvil,Transferencia
402,17,1213,62,1,627000,0.0,627000,Marketplace,Tarjeta Crédito
403,17,1902,85,2,8000,0.0,16000,Marketplace,Débito
404,17,24,88,1,78000,0.0,78000,Redes Sociales,Tarjeta Crédito
405,17,666,74,3,74000,0.1,199800,Redes Sociales,WebPay
406,17,1664,29,1,720000,0.1,648000,Marketplace,WebPay
407,17,1974,31,1,749000,0.0,749000,Web,Débito
408,17,105,43,1,615000,0.05,584250,Marketplace,Cuotas sin interés
409,17,528,82,1,77000,0.0,77000,Web,Cuotas sin interés
410,17,1980,49,1,979000,0.0,979000,Web,WebPay
411,17,940,59,1,1462000,0.0,1462000,Marketplace,Cuotas sin interés
412,17,1301,72,1,61000,0.05,57950,Web,Tarjeta Crédito
413,17,2406,113,1,257000,0.1,231300,Web,Tarjeta Crédito
414,18,401,52,1,621000,0.0,621000,App Móvil,Cuotas sin interés
415,18,2257,104,1,15000,0.0,15000,App Móvil,Transferencia
416,18,1916,63,1,472000,0.0,472000,Marketplace,Cuotas sin interés
417,18,551,73,2,36000,0.0,72000,Web,Transferencia
418,18,645,48,1,1406000,0.0,1406000,App Móvil,WebPay
